"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate","march_temperature","april_temperature","may_temperature","june_temperature","july_temperature","august_temperature","sept_temperature"
"52","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17158310",39.597535,-77.417093,1908-07-14,NA,NA,NA,"Y",NA,"Online Herbarium",7,14,1908,196,5.5,10.5,16.3000011444092,20.3999996185303,23.8999996185303,20.7000007629395,17.7000007629395
"53","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968860",40.537,-78.036374,1908-07-20,NA,NA,NA,"Y",NA,"Online Herbarium",7,20,1908,202,3.79999995231628,8.80000019073486,15.1000003814697,19.2000007629395,22.3000011444092,19.5,17.2000007629395
"54","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17000110",40.652756,-75.62521,1908-06-20,NA,NA,NA,"Y",NA,"Online Herbarium",6,20,1908,172,3.5,9,15.4000005722046,19.8999996185303,22.8000011444092,19.7000007629395,17.2000007629395
"55","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968957",40.70727,-78.619382,1908-07-24,NA,NA,NA,"Y",NA,"Online Herbarium",7,24,1908,206,3.40000009536743,8.60000038146973,15.1000003814697,19.7000007629395,22.2000007629395,19.6000003814697,17.1000003814697
"56","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326102",40.758429,-75.944818,1908-07-01,NA,NA,NA,"Y",NA,"Online Herbarium",7,1,1908,183,3.5,9,15.4000005722046,19.8999996185303,22.8000011444092,19.7000007629395,17.2000007629395
"57","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968909",41.209174,-76.924793,1908-07-16,NA,NA,NA,"Y",NA,"Online Herbarium",7,16,1908,198,2,7.5,14.8000001907349,19.3999996185303,21.8999996185303,19.3000011444092,17.3999996185303
"58","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968856",41.325238,-77.491115,1908-07-14,NA,NA,NA,"Y",NA,"Online Herbarium",7,14,1908,196,1.20000004768372,7.09999990463257,13.8000001907349,18.7000007629395,21.2000007629395,18.7000007629395,16.3000011444092
"59","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968855",41.34037,-77.637456,1908-07-14,NA,NA,NA,"Y",NA,"Online Herbarium",7,14,1908,196,1.80000007152557,7.40000009536743,13.9000005722046,18.6000003814697,21.3000011444092,18.3999996185303,16.1000003814697
"60","https://nansh.org/portal/collections/individual/index.php?occid=24048314",44.51953,-73.06565,1908-08-25,NA,NA,NA,"Y",NA,"Online Herbarium",8,25,1908,238,-2,4.90000009536743,14.1999998092651,18.7000007629395,21.6000003814697,18.3999996185303,16.3999996185303
"61","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326080",39.92028,-75.68917,1909-05-06,"Y","Y",NA,NA,NA,"Online Herbarium",5,6,1909,126,3.60000014305115,10.5,16.2000007629395,21.6000003814697,22.3999996185303,21.5,18.2000007629395
"62","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757302",39.92028,-75.68917,1909-05-06,"Y","Y",NA,NA,NA,"Online Herbarium",5,6,1909,126,3.60000014305115,10.5,16.2000007629395,21.6000003814697,22.3999996185303,21.5,18.2000007629395
"63","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326031",40.89798,-75.235365,1909-05-08,"Y","Y",NA,NA,NA,"Online Herbarium",5,8,1909,128,1.39999997615814,8.30000019073486,14.3000001907349,19.8999996185303,20.8999996185303,19.8000011444092,16.5
"64","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21908487",41.581044,-87.339561,1909-05-15,"Y","Y",NA,NA,NA,"Online Herbarium",5,15,1909,135,1.60000002384186,7.2000002861023,13.4000005722046,20.1000003814697,21.8000011444092,24.1000003814697,16.8999996185303
"65","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21908483",41.67116,-87.023514,1909-05-15,"Y","Y",NA,NA,NA,"Online Herbarium",5,15,1909,135,1.60000002384186,7.2000002861023,13.4000005722046,20.1000003814697,21.8000011444092,24.1000003814697,16.8999996185303
"66","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968980",40.783368,-77.621261,1909-07-15,NA,NA,"Y","Y",NA,"Online Herbarium",7,15,1909,196,0.300000011920929,7.5,14.1000003814697,19.6000003814697,20.3999996185303,19.6000003814697,16.1000003814697
"67","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968979",40.80139,-77.946109,1909-07-16,NA,NA,"Y","Y",NA,"Online Herbarium",7,16,1909,197,0.300000011920929,7.5,14.1000003814697,19.6000003814697,20.3999996185303,19.6000003814697,16.1000003814697
