"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate"
"81","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326032",40.89174,-75.229828,1912-05-12,"Y","Y",NA,NA,NA,"Online Herbarium",5,12,1912,133
"82","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326031",40.89798,-75.235365,1909-05-08,"Y","Y",NA,NA,NA,"Online Herbarium",5,8,1909,128
"83","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009745",40.91223,-79.64545,1995-05-20,"Y","Y",NA,NA,NA,"Online Herbarium",5,20,1995,140
"84","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326026",40.93524,-75.193579,1937-05-15,"Y","Y",NA,NA,NA,"Online Herbarium",5,15,1937,135
"85","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757298",40.936484,-75.194624,1937-05-15,"Y","Y",NA,NA,NA,"Online Herbarium",5,15,1937,135
"86","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329653",40.958417,-75.955458,1950-05-20,"Y","Y",NA,NA,NA,"Online Herbarium",5,20,1950,140
"87","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858969",40.966765,-76.851656,1954-04-30,"Y","Y",NA,NA,NA,"Online Herbarium",4,30,1954,120
"88","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968905",40.98412,-75.14638,1949-04-29,"Y","Y",NA,NA,NA,"Online Herbarium",4,29,1949,119
"89","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968880",40.984599,-79.9493,1969-05-21,"Y","Y",NA,NA,NA,"Online Herbarium",5,21,1969,141
"90","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968949",40.984599,-79.9493,1969-05-21,"Y","Y",NA,NA,NA,"Online Herbarium",5,21,1969,141
"91","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968847",40.98836,-79.925789,1968-05-01,"Y","Y",NA,NA,NA,"Online Herbarium",5,1,1968,122
"92","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12010903",41.02055555555,-75.42611111111,1997-05-18,"Y","Y",NA,NA,NA,"Online Herbarium",5,18,1997,138
