"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate"
"65","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968973",39.853436,-78.552552,1963-07-02,"NA","NA","Y","Y","NA","Online Herbarium",7,2,1963,183
"66","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968827",39.85353,-78.51844,1963-06-25,"NA","NA","Y","Y","NA","Online Herbarium",6,25,1963,176
"67","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858986",39.855465,-76.628858,1954-05-02,"Y","Y","NA","NA","NA","Online Herbarium",5,2,1954,122
"68","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968833",39.863122,-79.114732,1958-09-30,"NA","NA","NA","Y","NA","Online Herbarium",9,30,1958,273
"69","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329608",39.885937,-74.717267,1949-04-15,"NA","NA","NA","NA","Y","Online Herbarium",4,15,1949,105
"70","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968938",39.892252,-79.088083,1963-07-12,"NA","NA","Y","NA","NA","Online Herbarium",7,12,1963,193
"71","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968840",39.910464,-79.374191,1942-06-28,"NA","NA","Y","NA","NA","Online Herbarium",6,28,1942,179
"72","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968917",39.911179,-77.478691,1951-05-05,"NA","Y","NA","NA","NA","Online Herbarium",5,5,1951,125
"73","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326080",39.92028,-75.68917,1909-05-06,"Y","Y","NA","NA","NA","Online Herbarium",5,6,1909,126
"74","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757302",39.92028,-75.68917,1909-05-06,"Y","Y","NA","NA","NA","Online Herbarium",5,6,1909,126
"75","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968828",39.927859,-78.678086,1946-06-01,"NA","NA","Y","NA","NA","Online Herbarium",6,1,1946,152
"76","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968887",39.93336,-77.954522,1905-06-06,"NA","NA","Y","Y","NA","Online Herbarium",6,6,1905,157
"77","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968831",39.933858,-78.781806,1964-05-09,"Y","Y","NA","NA","NA","Online Herbarium",5,9,1964,130
"78","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968977",39.946891,-78.997801,1949-07-13,"NA","NA","NA","Y","NA","Online Herbarium",7,13,1949,194
"79","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968956",39.946891,-78.997801,1949-07-13,"NA","NA","NA","Y","NA","Online Herbarium",7,13,1949,194
"80","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968888",39.950564,-77.937953,1957-08-11,"NA","NA","NA","NA","Y","Online Herbarium",8,11,1957,223
"81","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329586",39.953285,-74.975187,1919-04-12,"Y","Y","NA","NA","NA","Online Herbarium",4,12,1919,102
"82","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968841",39.9574,-79.01884,1941-07-20,"NA","NA","NA","NA","Y","Online Herbarium",7,20,1941,201
"83","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19920770",39.9625,-74.5075,2004-06-19,"NA","NA","Y","NA","NA","Online Herbarium",6,19,2004,171
"84","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968829",39.962755,-78.604233,1941-06-15,"NA","NA","NA","NA","Y","Online Herbarium",6,15,1941,166
"85","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11957913",39.963647,-78.023267,1977-07-13,"NA","NA","Y","Y","NA","Online Herbarium",7,13,1977,194
"86","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757281",39.974374,-77.365415,1935-05-18,"Y","Y","NA","NA","NA","Online Herbarium",5,18,1935,138
"87","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968834",39.982943,-79.041468,1952-05-24,"Y","Y","NA","NA","NA","Online Herbarium",5,24,1952,145
"88","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=21942305",39.982943,-79.041468,1941-07-19,"NA","NA","NA","Y","NA","Online Herbarium",7,19,1941,200
"89","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326074",39.993964,-75.380532,1912-04-21,"Y","Y","NA","NA","NA","Online Herbarium",4,21,1912,112
"90","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326070",39.994444,-75.38,1908-09-13,"NA","NA","NA","Y","NA","Online Herbarium",9,13,1908,257
"91","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326071",39.994444,-75.38,1910-04-23,"Y","Y","NA","NA","NA","Online Herbarium",4,23,1910,113
"92","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757265",39.995094,-75.374813,1936-05-03,"NA","Y","NA","NA","NA","Online Herbarium",5,3,1936,124
"93","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968940",39.995319,-75.375599,1936-05-03,"Y","Y","NA","NA","NA","Online Herbarium",5,3,1936,124
