"","reference","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate","march_temperature","april_temperature","may_temperature","june_temperature","july_temperature","august_temperature","sept_temperature","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NA_L2KEY","NA_L1KEY","Shape_Leng","Shape_Area","decimalLongitude","decimalLatitude","date"
"34","https://neherbaria.org/portal/collections/individual/index.php?occid=2100877","1906-07-18",NA,NA,"Y","Y",NA,"Online Herbarium",7,18,1906,199,-5.59999990463257,4,10.6000003814697,16.2000007629395,19.2000007629395,19.6000003814697,14.1999998092651,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9752633.62823,160748671110,-69.66573,44.75535,1900-07-18
"35","ECS005733","1906-07-23",NA,NA,"Y",NA,NA,"ECSmith",7,23,1906,204,-7.90000009536743,0.5,7.2000002861023,13.5,17.7000007629395,16.8999996185303,10.6000003814697,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",4392637.73784,160162093148,-68.015307,48.666559,1900-07-23
"36","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19931002","1906-07-08",NA,NA,NA,"Y",NA,"Online Herbarium",7,8,1906,189,0.100000001490116,9.60000038146973,15.5,21.2000007629395,23.1000003814697,23.6000003814697,19.7000007629395,"8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",81494.2013343,150198160.631,-74.21773,40.541151,1900-07-08
"37","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329692","1907-04-27","Y","Y",NA,NA,NA,"Online Herbarium",4,27,1907,117,6.2000002861023,6.90000009536743,13.3000001907349,18.5,23.3999996185303,21.7000007629395,20,"8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",5475122.67071,26026341919.2,-74.982944,39.811503,1900-04-27
"38","https://neherbaria.org/portal/collections/individual/index.php?occid=702244","1907-07-02",NA,NA,"Y",NA,NA,"Online Herbarium",7,2,1907,183,-2.20000004768372,3.20000004768372,8.90000057220459,16.2000007629395,19.5,17.6000003814697,14.4000005722046,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",4392637.73784,160162093148,-70.47619,44.14429,1900-07-02
"39","https://neherbaria.org/portal/collections/individual/index.php?occid=699951","1908-05-28","Y","Y",NA,NA,NA,"Online Herbarium",5,28,1908,149,0.300000011920929,6.09999990463257,14,19,21.8000011444092,19.1000003814697,16.3999996185303,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",4392637.73784,160162093148,-71.93935,42.89051,1900-05-28
"40","https://neherbaria.org/portal/collections/individual/index.php?occid=702339","1908-05-28","Y","Y",NA,NA,NA,"Online Herbarium",5,28,1908,149,0.300000011920929,6.09999990463257,14,19,21.8000011444092,19.1000003814697,16.3999996185303,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",4392637.73784,160162093148,-71.93935,42.89051,1900-05-28
"41","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968889","1908-07-24",NA,NA,"Y","Y",NA,"Online Herbarium",7,24,1908,206,3.40000009536743,8.60000038146973,15.1000003814697,19.7000007629395,22.2000007629395,19.6000003814697,17.1000003814697,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-78.518077,40.715341,1900-07-24
"42","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326033","1908-06-29",NA,NA,"Y","Y",NA,"Online Herbarium",6,29,1908,181,3.60000014305115,8.90000057220459,15.5,20.1000003814697,23.1000003814697,20,17.3999996185303,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-75.215362,40.926989,1900-06-29
"43","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968982","1908-07-13",NA,NA,"Y","Y",NA,"Online Herbarium",7,13,1908,195,0.900000035762787,7.09999990463257,13.6999998092651,18.3999996185303,21.1000003814697,18.3999996185303,16,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-78.219083,41.094913,1900-07-13
"44","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968983","1908-07-13",NA,NA,"Y","Y",NA,"Online Herbarium",7,13,1908,195,0.900000035762787,7.09999990463257,13.6999998092651,18.3999996185303,21.1000003814697,18.3999996185303,16,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-78.219083,41.094913,1900-07-13
